 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
270717,DRESDEN,R,345,=,298,STA12 BUS_8,345,BG,JQ,,,,
270717,DRESDEN,R,345,=,299,STA12 BUS_9,345,BG,JQ,,,,
270717,DRESDEN,R,345,=,300,STA12 BUS_10,345,BG,JQ,,,,
270717,DRESDEN,R,345,=,301,STA12 BUS_11,345,BG,JQ,,,,
270717,DRESDEN,R,345,=,304,STA12 BUS_14,345,BG,JQ,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
270702,CRAWFORD,B,345,=,245,CRAWFD45 B1,345,BG,JQ,,,,
270702,CRAWFORD,B,345,=,246,CRAWFD45 B2,345,BG,JQ,,,,
270702,CRAWFORD,B,345,=,259,CRAWFD45 B3,345,BG,JQ,,,,
270702,CRAWFORD,B,345,=,154,CRAWFD45 B4,345,BG,JQ,,,,
270703,CRAWFORD,R,345,=,247,CRAWFD45 B5,345,BG,JQ,,,,
270703,CRAWFORD,R,345,=,248,CRAWFD45 B6,345,BG,JQ,,,,
270703,CRAWFORD,R,345,=,249,CRAWFD45 B7,345,BG,JQ,,,,
270703,CRAWFORD,R,345,=,153,CRAWFD45 B8,345,BG,JQ,,,,
,,,,,,,,,,,,,
270914,WAUKEGAN,B,345,=,384,STA16B 45B4,345,BG,JQ,,,,
270914,WAUKEGAN,B,345,=,385,STA16B 45B5,345,BG,JQ,,,,
270914,WAUKEGAN,B,345,=,386,STA16B 45B6,345,BG,JQ,,,,
270915,WAUKEGAN,R,345,=,389,STA16R 45B9,345,BG,JQ,,,,
270915,WAUKEGAN,R,345,=,390,STA16R 45B10,345,BG,JQ,,,,
270915,WAUKEGAN,R,345,=,391,STA16R 45B11,345,BG,JQ,,,,
,,,,,,,,,,,,,
270670,BRAIDWOOD,B,345,=,194,BRAWD45B,345,BG,JQ,,,,
270671,BRAIDWOOD,R,345,=,193,BRDWD45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270796,KINCAID,B,345,=,373,BUS_3,345,BG,JQ,,,,
270796,KINCAID,B,345,=,375,BUS_5,345,BG,JQ,,,,
270796,KINCAID,B,345,=,377,BUS_7,345,BG,JQ,,,,
270796,KINCAID,B,345,=,378,BUS_8,345,BG,JQ,,,,
270797,KINCAID,R,345,=,376,BUS_6,345,BG,JQ,,,,
270797,KINCAID,R,345,=,371,BUS_1,345,BG,JQ,,,,
270797,KINCAID,R,345,=,372,BUS_2,345,BG,JQ,,,,
,,,,,,,,,,,,,
270940,ZION STA,B,345,=,968,BUS_19,345,BG,JQ,,,,
270940,ZION STA,B,345,=,969,BUS_18,345,BG,JQ,,,,
270940,ZION STA,B,345,=,970,BUS_17,345,BG,JQ,,,,
270941,ZION STA,R,345,=,961,BUS_2,345,BG,JQ,,,,
270941,ZION STA,R,345,=,962,BUS_3,345,BG,JQ,,,,
270941,ZION STA,R,345,=,963,BUS_4,345,BG,JQ,,,,
270941,ZION STA,R,345,=,964,BUS_5,345,BG,JQ,,,,
270942,ZION STA,0B,345,=,965,BUS_6,345,BG,JQ,,,,
270942,ZION STA,0B,345,=,966,BUS_7,345,BG,JQ,,,,
270942,ZION STA,0B,345,=,967,BUS_20,345,BG,JQ,,,,
,,,,,,,,,,,,,
270697,COLLINS,R,345,=,177,COLLNS45,345,BG,JQ,,,,
275168,COLLINS,2M,345,=,177,COLLNS45,345,BG,JQ,,,,
,,,,,,,,,,,,,
270788,JOLIET 29,B,345,=,122,JOLIET45,345,BG,JQ,,,,
270789,JOLIET 29,R,345,=,121,JOLIET45,345,BG,JQ,,,,
,,,,,,,,,,,,,
270854,POWERTON,B,345,=,271,STA03 45B1,345,BG,JQ,,,,
270854,POWERTON,B,345,=,272,STA03 45B2,345,BG,JQ,,,,
